club,year,item,value_gbp,comparative_gbp,source_section,source_snippet,confidence,cross_check,restated_next_year,note,corrected_value,verified,validation_note
everton,2024,wages,156631000,159026000,notes,"Staff costs 156,631 159,026",high,agrees with 2024+1 comparative,,"section: £'000; matched tier 1; took figure '156,631' of 2 on row",,y,
everton,2024,player_amortisation,64581000,77621000,notes,"Amortisation of players’ registrations 64,581 77621",high,agrees with 2024+1 comparative,,"section: £'000; matched tier 1; took figure '64,581' of 2 on row",,y,
everton,2024,profit_on_disposal,0,,profit_and_loss,Profit on disposal of tangible . -,low,,,section: £'000; matched tier 2; took figure '-' of 1 on row,,y,
everton,2025,revenue,196697000,196697000,profit_and_loss,"Turnover 196,697 : + 196,697 » 3186,902 - 186,902",medium,,,"section: £'000; matched tier 1; took figure '196,697' of 6 on row; row has 6 figures, took the first column",,y,
everton,2025,wages,152064000,156631000,notes,"Staff costs 152,064 156,631",high,,,"section: £'000; matched tier 1; took figure '152,064' of 2 on row",,y,
everton,2025,player_amortisation,50901000,64581000,notes,"Amortisation of players’ registrations 50,901 64,581",high,,,"section: £'000; matched tier 1; took figure '50,901' of 2 on row",,y,
everton,2025,profit_on_disposal,0,,profit_and_loss,Profit on disposal of tangible fixed assets 4 - 4 4 4,medium,,,section: £'000; matched tier 1; took figure '-' of 1 on row,,y,
tottenham,2023,revenue,49633000,443415000,profit_and_loss,"Revenue 2 $49,633 - $49,633 443,415 - 443,415",low,"agrees with 2023+1 comparative; OUTLIER: 0.10x this club's median revenue (517,763,000)",,"section: £'000; matched tier 1; took figure '49,633' of 6 on row; row has 6 figures, took the computed total column",549633000,y,"OCR dropped the leading 5 from 549,633 ('$49,633'). Confirmed twice: FY2023's own five-year summary reads 'Revenue 549,633 444,028*', and FY2024 reads 'Revenue and other income 528,191 549,633'."
tottenham,2023,wages,251121000,209180000,notes,"Staff costs S) 251,121 209,180",high,agrees with 2023+1 comparative,,"section: £'000; matched tier 1; took figure '251,121' of 2 on row",,y,
tottenham,2023,player_amortisation,109073000,79520000,notes,"Amortisation of intangible fixed assets 109,073 79,520",medium,agrees with 2023+1 comparative,,"section: £'000; matched tier 2; took figure '109,073' of 2 on row",,y,
tottenham,2023,profit_on_disposal,-25000,0,notes,"Profit on disposal of property, plant and equipment (25) -",high,,,section: £'000; matched tier 1; took figure '(25)' of 2 on row,,y,
tottenham,2024,revenue,517763000,49633000,profit_and_loss,"Revenue 2 517,763 - 517,763 549,633 - $49,633",low,MISMATCH: 2025 filing restates this as 0,0,"section: £'000; matched tier 1; took figure '517,763' of 6 on row; row has 6 figures, took the computed total column",,y,"Cross-year flag spurious: FY2025 prints 517,763 as its comparative."
tottenham,2024,wages,221929000,251121000,notes,"Staff costs 221,929 251,121",high,agrees with 2024+1 comparative,,"section: £'000; matched tier 1; took figure '221,929' of 2 on row",,y,
tottenham,2024,player_amortisation,136287000,109073000,notes,"Amortisation of intangible fixed assets 136,287 109,073",medium,agrees with 2024+1 comparative,,"section: £'000; matched tier 2; took figure '136,287' of 2 on row",,y,
tottenham,2024,profit_on_disposal,-25000,,notes,"Loss/(profit) on disposal of property, plant and equipment 6 (25)",medium,,,section: £'000; matched tier 1; took figure '(25)' of 1 on row,0,y,"Row prints a single figure '6 (25)'; neighbouring rows carry two columns, so the (25) is the FY2023 comparative and FY2024 is nil. FY2023's own filing reports the (25) as its current year."
tottenham,2025,revenue,564881000,0,profit_and_loss,"Revenue 2 564,881 - $64,881 517,763 - 517,763",medium,,,"section: £'000; matched tier 1; took figure '564,881' of 6 on row; row has 6 figures, took the first column",,y,
tottenham,2025,wages,255811000,221929000,notes,"Staff costs 255,811 221,929",high,,,"section: £'000; matched tier 1; took figure '255,811' of 2 on row",,y,
tottenham,2025,player_amortisation,141851000,136287000,notes,"Amortisation of intangible fixed assets 141,851 136,287",medium,,,"section: £'000; matched tier 2; took figure '141,851' of 2 on row",,y,
tottenham,2025,profit_on_disposal,,,,,none,,,no matching row found,,y,Line not disclosed in this filing; checked the full document.
west-ham,2023,revenue,236656000,252720000,profit_and_loss,"Group turnover 3 236,656 - 236,656 252,720 - 252,720",medium,agrees with 2023+1 comparative,,"section: £'000; matched tier 1; took figure '236,656' of 6 on row; row has 6 figures, took the computed total column",,y,
west-ham,2023,wages,136844000,,notes,"derived total staff costs: 118,823 + 17,726 + 295 = 136,844",medium,,,section: £'000; summed from the components in the employees note (no labelled total is printed),,y,
west-ham,2023,player_amortisation,65306000,48825000,notes,"Amortisation of intangible fixed assets 65,306 48,825",medium,agrees with 2023+1 comparative,,"section: £'000; matched tier 2; took figure '65,306' of 2 on row",,y,
west-ham,2023,profit_on_disposal,,,,,none,,,no matching row found,,y,Line not disclosed in this filing; checked the full document.
west-ham,2024,revenue,269740000,236656000,profit_and_loss,"Group turnover 3 269,740 - 269,740 236,656 - 236,656",medium,agrees with 2024+1 comparative,,"section: £'000; matched tier 1; took figure '269,740' of 6 on row; row has 6 figures, took the computed total column",,y,
west-ham,2024,wages,160969000,,notes,"derived total staff costs: 140,747 + 19,917 + 305 = 160,969",medium,,,section: £'000; summed from the components in the employees note (no labelled total is printed),,y,
west-ham,2024,player_amortisation,83489000,65306000,notes,"Amortisation of intangible fixed assets 83,489 65,306",medium,,,"section: £'000; matched tier 2; took figure '83,489' of 2 on row",,y,
west-ham,2024,profit_on_disposal,,,,,none,,,no matching row found,,y,Line not disclosed in this filing; checked the full document.
west-ham,2025,revenue,227552000,269740000,profit_and_loss,"Group turnover 3 227,552 - 227,552 269,740 - 269,740",medium,,,"section: £'000; matched tier 1; took figure '227,552' of 6 on row; row has 6 figures, took the computed total column",,y,
west-ham,2025,wages,175893000,,notes,"derived total staff costs: 152,926 + 22,638 + 329 = 175,893",medium,,,section: £'000; summed from the components in the employees note (no labelled total is printed),,y,
west-ham,2025,player_amortisation,103287000,,notes,"Amortisation of intangible fixed assets (99,408) (3,879) (103,287)",medium,,,"section: £'000; matched tier 2; took figure '(103,287)' of 3 on row; row has 3 figures, took the computed total column",,y,
west-ham,2025,profit_on_disposal,,,,,none,,,no matching row found,,y,Line not disclosed in this filing; checked the full document.
